playground,type,SES,avgPb,avgAs,avgZn,avgSr,avgCd,peeling_paint,rubber_condition,num_homes,num_homes_paint,distance,EJ_criteria,notes
l7,rubber,low,25.47,6.92625,13180.44,43.895,6.81375,0,0,5,2,105.4375289,1, 
l7,soil,low,28.04625,611.92375,5456.24,46.85625,8.37375,0,0,5,2,105.4375289,1, 
l9,mulch,low,5.14125,3.875625,48.2025,7.675,4.66875,1,1,1,0,3.253309611,1,wood chips
l9,rubber,low,73.195,8.685,12540.33,88.145,6.70875,1,1,1,0,3.253309611,1, 
l9,sand,low,6.42,6.95625,10.03875,29.355,9.4575,1,1,1,0,3.253309611,1,baseball field
l9,soil,low,31.35,8.33625,54.545,90.49,8.93625,1,1,1,0,3.253309611,1, 
m11,mulch,medium,6.8785,4.692,42.944,31.526,5.442,0,2,0,0,41.85001694,0, 
m11,rubber,medium,5.955,4.76625,8954.57,107.355,6.64875,0,0,0,0,41.85001694,0,squishy rubber
m11,soil,medium,18.155,8.35,72.675,79.205,6.84,0,2,0,0,41.85001694,0, 
m12,mulch,medium,6.294375,4.651875,39.96,11.41,5.784375,1,1,0,0,39.25415322,1, 
m12,rubber,medium,13.21,5.88375,21885.82,14.445,6.58125,1,1,0,0,39.25415322,1, 
m12,sand,medium,6.02625,4.995,11.83375,12.86,21.365,1,1,0,0,39.25415322,1, 
m12,soil,medium,69.005,9.88125,68.87,96.955,8.98875,1,1,0,0,39.25415322,1,lot of rubber in soil
m22,rubber,medium,9.98375,4.79625,19529.55,63.62,6.07125,0,1,0,0,24.65868739,1, 
m22,soil,medium,37.605,7.905,152.12,64.995,8.59125,0,1,0,0,24.65868739,1, 
m25,rubber,medium,53.235,26.50625,1417.17,130.85,8.43375,0,0,0,0,17.94171083,1, 
m25,soil,medium,19.075,10.07875,60.49,74.765,7.66125,0,0,0,0,17.94171083,1, 
m26,rubber,medium,66.745,10.4175,1957.055,59.76,9.76125,0,0,0,0,100.1907526,0,Fence peeling paint
m26,sand,medium,6.61875,5.05875,10.44375,23.36,8.9325,0,0,0,0,100.1907526,0, 
m26,soil,medium,17.0975,6.1125,49.65,76.37,7.6725,0,0,0,0,101.6808966,0, 
m3,mulch,medium,5.885625,4.408125,52.885,12.6225,4.543125,1,1,1,0,223.0547435,1, 
m3,rubber,medium,11.68,5.4975,14797.63,111.375,6.46125,1,1,1,0,223.0547435,1,rubber deteriorating near swings
m3,sand,medium,6.99375,5.46375,9.27375,66.055,9.2325,1,1,1,0,223.0547435,1, 
m3,soil,medium,41.77,8.50875,49.765,108.23,8.7075,1,1,1,0,223.0547435,1,rust on fence
m32,rubber,medium,9.27375,5.4,16174.105,90.885,7.3125,1,2,0,0,28.23941091,1,Some cracks
m32,sand,medium,7.48125,6.28125,38.385,51.185,9.09,1,2,0,0,34.07698273,1,Sampled close to digger
m32,soil,medium,54.1425,8.3625,50.385,62.9,8.93625,1,2,0,0,44.70378639,1, 
m5,rubber,medium,8.67625,5.235,14762.575,90.68,6.7575,0,0,0,0,127.8466425,1, 
m5,soil,medium,41.93,8.71125,39.76,74.455,8.50875,0,0,0,0,127.8466425,1, 
m8,rubber,medium,8.835833333,5.1325,16163.42,26.09,6.32,1,2,1,0,101.5507743,1,rubber only bad near swings
m8,sand,medium,6.59625,5.32875,13.82125,16.08875,14.7075,1,2,1,0,101.5507743,1,baseball field
m8,soil,medium,23.41,7.36125,57.025,79.09,8.7525,1,2,1,0,101.5507743,1,rust on fence
